titulo,img,descripcion,puntuacion,precio,marca,ASIN,categoria
"DEKO Caja Herramientas Completa con Destornillador Electrico/Taladro con bateria de 8V, Maletin de 126 Piezas, Caja profesional de herramientas Domésticas de Bricolaje para Oficinas y Jardín, Amarillo","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51KueEeho7L._SL500_.jpg","PUEDES OBTENER HERRAMIENTAS- taladro profesional ; Juego de Brocas, Set de Puntas de Presicion, Destornilladores, Martillo, Llaves Allen, Mango para puntas intercambiables, Cinta Metrica, y mucho mas., MALETÍN HERRAMIENTAS IMPRESCINDIBLE PARA CASA- EL caja de herramientas eléctricas domésticas profesionales bricolaje contiene las herramientas de diseño para mantenimiento o mantenimiento más prácticas y avanzadas. Es muy adecuado para la decoración, el montaje de muebles, la perforación, el corte, la jardinería, la Oficina o el mantenimiento diario del hogar. Las herramientas se almacenan cuidadosamente en cajas sólidas para mantenerse seguras, limpias, ordenadas y fáciles de encontrar., DE ALTA CALIDAD, ROBUSTOS Y DURADEROS-DEKO caja herramientas manufacturadas en acero cromado CR-V de alta calidad para evitar corrosión y oxidación. Recubiertas por mangos de goma resistentes para mejor control., CON BATERÍA RECARGABLE 1.5AH, CABLE C-DEKO taladro eléctrico está equipado con un cable de carga C - 1.5AH. Puede conectarlo a un cargador universal o a una salida USB (5vd.c) para cargar la herramienta. el indicador de batería se encuentra en la parte posterior de la herramienta y la batería está llena cuando el indicador de batería Verde está estable y no parpadea., 8V TALADRO PROFESIONAL CON LED- El destornillador electrico se puede utilizar para perforar en madera y plástico, o para apretar / aflojar tornillos. Presione el interruptor para ajustar la velocidad del taladro eléctrico, con una velocidad máxima sin carga de 800r / MIN para el atornillador electrico. El destornilladores electricos con luces LED incorporadas, el peso neto del taladro manual es de solo 0.75KG, lo que facilita la operación con una sola Mano.","9,8","69,99 €",DEKO,1,15
JBM Maletín portaherramientas de 108 piezas con llaves hexagonales satinadas,"https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51-gJai1YHL._SL500_.jpg","Tipo de producto: WRENCH, JBM Maletín portaherramientas de 108 piezas con llaves hexagonales satinadas, Color: Negro","9,5","54,45 €",JBM,2,15
"STANLEY Caja de Herramientas Essential, Dimensiones: 40,6 x 20,5 x 19,5 cm, Cierres Metálicos, Asa Ergonómica, Organizadores en Tapa, Bandeja Extraíble - STST1-75518","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F31m7KLjrbNL._SL500_.jpg","SEGURIDAD ADICIONAL: Cuenta con un orificio para candado, proporcionando una protección para tus herramientas, ORGANIZACIÓN EFICIENTE: Organizadores integrados en la tapa y bandeja interior extraíble para mantener tus herramientas ordenadas, GAMA VARIADA: Disponible en 4 medidas para adaptarse a tus necesidades, CIERRES METÁLICOS: Brindan un cierre seguro y duradero., ASA ERGONÓMICA: Facilita el transporte y manejo de la caja de herramientas","9,4","13,34 €",STANLEY,3,15
Mannesmann M29166 - Maletín con juego de llaves de vaso y puntas de destornillador (130 piezas),"https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51BhhlVjotL._SL500_.jpg","Maletín de plástico duro con llaves de vaso y puntas, Incluidas en un maletín de plástico, Extensión de 50 mm, Asiento de la herramienta: 1/4 "" (6.3 mm), 13 x llaves tubulares de cubo 6,3 mm (1/4"""") de 4 - 14 mm","9,3","23,45 €",MANNESMANN,4,15
"Amazon Basics Juego de herramientas para el hogar, Plástico, Negro/ Gris, 32 Unidad","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51DXP2kUBHL._SL500_.jpg","Mango ergonómico de plástico antideslizante, Conveniente estuche de almacenamiento moldeado por soplado, Contiene todo lo que necesitas para pequeños trabajos de bricolaje y reparación, Aleación de acero de alta calidad, Advertencia: Lleva gafas de seguridad para protegerte y no golpees acero endurecido u otros martillos mientras usas el martillo de mano","9,1","24,19 €",AMAZON BASICS,5,15
"STANLEY Bonus Pack 2 Cajas de herramientas de plástico 12.5""/32cm + 19""/48cm , Cierres de metal, Asa ergonómica, Organizadores integrados en las tapas, STST1-75772","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F412RvhIgyBL._SL500_.jpg","STANLEY Bonus Pack 2 Cajas de herramientas de plástico 12.5""/32cm + 19""/48cm , Cierres de metal, Asa ergonómica, Organizadores integrados en las tapas, STST1-75772",9,"24,90 €",STANLEY,6,15
"Perel Caja de herramientas, polipropileno, con bandeja de herramientas extraíble, manija plegable y cierres de plástico, negro/amarillo, 410 x 209 x 195 mm","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F31mP3S23geL._SL500_.jpg","ORGANIZACIÓN: la caja de herramientas le permite almacenar y almacenar sus herramientas correctamente, sin riesgo de pérdida o daño., MANGO ERGONÓMICO: la caja de herramientas tiene un mango ergonómico que le permite transportarlo fácilmente a su próximo proyecto., LIGERO: la caja está hecha de polipropileno, un material que es robusto y ligero. Esto lo hace muy robusto y le permite resistir los choques., CARCASA ROBUSTA: la robusta caja de plástico protege sus herramientas de daño y los 2 cierres de plástico sólido aseguran la caja durante el transporte., BANDEJA DE HERRAMIENTAS EXTRAÍBLE: la bandeja del soporte de herramientas garantiza un almacenamiento perfecto de sus tornillos, pernos, tuercas y otras habitaciones pequeñas.","8,9","10,57 €",PEREL,7,15
"Amazon Basics Caja de herramientas de uso general para el hogar, 173 piezas","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51hufmcoBlL._SL500_.jpg","Tenga en cuenta que el juego de herramientas incluye ciertos artículos con solo medidas métricas SAE o imperiales, Sus mangos de plástico antideslizantes proporcionan una mayor comodidad y control, El estuche moldeado por soplado permite almacenar y transportar las herramientas con seguridad y comodidad, Dimensiones: 42.9 x 32.2 x 8.5 cm, De aleación de acero cromada y tratada térmicamente para una resistencia duradera y resistente a la corrosión, Caja de herramientas de 173 piezas para reparaciones básicas del hogar y proyectos cotidianos; incluye 8 llaves combinadas, una llave de carraca de 3/8 pulgadas, 22 llaves hexagonales, un alicate ajustable de 6 pulgadas, un alicate de punta larga de 6 pulgadas y más, Advertencia: lleva gafas de seguridad para garantizar su seguridad mientras usas el martillo de mano","8,6","49,99 €",AMAZON BASICS,8,15
"STANLEY Taller Móvil Essential para Herramientas 3 en 1, Caja de herramientas 45cm, Asa Plegable, Organizadores en Tapa, Cierres Metálicos, Ruedas 18cm, STST1-80151","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F413apfpiBtL._SL500_.jpg","RUEDAS DE 18CM: Facilitan el desplazamiento del taller móvil en diferentes superficies, ORGANIZADORES:compatimentos en la tapa para pequeñas piezas que permite mantener ordenadas y accesibles los componentes más pequeños, CIERRES METÁLICOS CON BLOQUEO: Proporcionan seguridad adicional al asegurar el contenido de la caja de herramientas, ASA PLEGABLE: Facilita el transporte cómodo y almacenamiento del taller móvil de herramientas, 3 EN 1: Caja de herramientas, módulo central y compartimentos de gran capacidad; espacio para almacenar una variedad de herramientas y accesorios","8,5","40,20 €",STANLEY,9,15
"DEKO Caja Herramientas Completa 100 Piezas, Maletin caja de Herramientas Bricolaje para el Hogar, Oficia y Coche, con Juego de Destornilladores, Martillo, y Set de Alicates para Mantenimiento Diario","https://images.mejoresresenas.es/image/fetch/c_scale,f_auto/https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51-0EZOy%2BvL._SL500_.jpg","VARIEDADES COMPLETAS: Contiene las herramientas necesarias para la mayoría de las reparaciones pequeñas y los proyectos básicos de bricolaje en la casa., FÁCIL DE LLEVAR Y ALMACENAR: Se encuentra en un práctico estuche moldeado por soplado para un fácil almacenamiento y portabilidad de la herramienta, DISEÑO FUNCIONAL STREAMLINED: una combinación de una variedad de herramientas básicas, destornilladores de precisión, martillos, cinta métrica, alicates, etc. También tiene una mini llave de trinquete de doble función y una funda para llave. Herramientas limitadas con funcionalidad ilimitada, DISEÑO DE GRAN ORGINALIDAD: El estuche negro lo hace resistente a la suciedad. Tamaño de la caja: 13.39 ""* 9.84"" * 3.54 "". Peso neto 7.54 lb, ALTA CALIDAD Y NORMAS: forjadas en acero de alta calidad y acabadas en cromo de alto brillo, resistencia, durabilidad, protección anticorrosiva","8,4","39,09 €",DEKO,10,15
